T, R, uR
246, 0.2464, 246
247, 0.2422, 242
248, 0.238, 238
249, 0.234, 234
250, 0.23, 230
251, 0.2262, 226
252, 0.2223, 222
253, 0.2186, 219
254, 0.215, 215
255, 0.2114, 211
256, 0.2079, 208
257, 0.2045, 205
258, 0.2011, 201
259, 0.1978, 198
260, 0.1946, 195
261, 0.1914, 191
262, 0.1883, 188
263, 0.1853, 185
264, 0.1823, 182
265, 0.1794, 179
266, 0.1765, 177
267, 0.1737, 174
268, 0.171, 171
269, 0.1683, 168
270, 0.1656, 166
271, 0.163, 163
272, 0.1604, 160
273, 0.1579, 158
274, 0.1555, 156
275, 0.1531, 153
276, 0.1507, 151
277, 0.1484, 148
278, 0.1461, 146
279, 0.1439, 144
280, 0.1417, 142
281, 0.1396, 140
282, 0.1375, 138
283, 0.1354, 135
284, 0.1334, 133
285, 0.1314, 131
286, 0.1295, 130
287, 0.1275, 128
288, 0.1257, 126
289, 0.1238, 124
290, 0.122, 122
291, 0.1202, 120
292, 0.1185, 119
293, 0.1168, 117
294, 0.1151, 115
295, 0.1134, 113
296, 0.1118, 112
297, 0.1102, 110
298, 0.1086, 109
299, 0.1071, 107
300, 0.1056, 106
